Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,Sentiment,Predicted_Close
0,2010-06-29,3.8,5.0,3.508,4.778,4.778,93831500,1,
1,2010-06-30,5.158,6.084,4.66,4.766,4.766,85935500,0,
2,2010-07-01,5.0,5.184,4.054,4.392,4.392,41094000,0,
3,2010-07-02,4.6,4.62,3.742,3.84,3.84,25699000,1,
4,2010-07-06,4.0,4.0,3.166,3.222,3.222,34334500,-1,
5,2010-07-07,3.28,3.326,2.996,3.16,3.16,34608500,0,
6,2010-07-08,3.228,3.504,3.114,3.492,3.492,38557000,0,
7,2010-07-09,3.516,3.58,3.31,3.48,3.48,20253000,0,
8,2010-07-12,3.59,3.614,3.4,3.41,3.41,11012500,1,
9,2010-07-13,3.478,3.728,3.38,3.628,3.628,13400500,0,
10,2010-07-14,3.588,4.03,3.552,3.968,3.968,20976000,0,
11,2010-07-15,3.988,4.3,3.8,3.978,3.978,18699000,0,
12,2010-07-16,4.14,4.26,4.01,4.128,4.128,13106500,0,
13,2010-07-19,4.274,4.45,4.184,4.382,4.382,12432500,0,
14,2010-07-20,4.37,4.37,4.01,4.06,4.06,9126500,0,
15,2010-07-21,4.132,4.18,3.9,4.044,4.044,6262500,0,
16,2010-07-22,4.1,4.25,4.074,4.2,4.2,4789000,0,
17,2010-07-23,4.238,4.312,4.212,4.258,4.258,3268000,0,
18,2010-07-26,4.3,4.3,4.06,4.19,4.19,4611000,0,
19,2010-07-27,4.182,4.236,4.052,4.11,4.11,3098500,0,
20,2010-07-28,4.11,4.18,4.102,4.144,4.144,2336000,0,
21,2010-07-29,4.154,4.176,4.0,4.07,4.07,3080000,0,
22,2010-07-30,4.04,4.088,3.91,3.988,3.988,2134500,0,
23,2010-08-02,4.1,4.194,4.066,4.184,4.184,3590500,0,
24,2010-08-03,4.2,4.39,4.164,4.39,4.39,6152500,0,
25,2010-08-04,4.39,4.436,4.17,4.252,4.252,4565000,0,
26,2010-08-05,4.308,4.31,4.01,4.09,4.09,3981000,0,
27,2010-08-06,4.02,4.032,3.904,3.918,3.918,3709500,0,
28,2010-08-09,3.98,3.996,3.89,3.92,3.92,4063500,0,
29,2010-08-10,3.93,3.93,3.764,3.806,3.806,6406500,0,
30,2010-08-11,3.738,3.776,3.57,3.58,3.58,3988000,0,
31,2010-08-12,3.56,3.58,3.478,3.52,3.52,3455000,0,
32,2010-08-13,3.636,3.69,3.532,3.664,3.664,3170000,0,
33,2010-08-16,3.69,3.76,3.652,3.756,3.756,2429000,0,
34,2010-08-17,3.792,3.88,3.756,3.83,3.83,2239500,0,
35,2010-08-18,3.918,3.918,3.72,3.754,3.754,3006500,0,
36,2010-08-19,3.708,3.85,3.666,3.758,3.758,2895500,0,
37,2010-08-20,3.73,3.822,3.702,3.82,3.82,1480000,0,
38,2010-08-23,3.818,4.078,3.8,4.026,4.026,5440500,0,
39,2010-08-24,3.85,3.942,3.79,3.84,3.84,3365500,0,
40,2010-08-25,3.832,3.996,3.712,3.98,3.98,2516500,0,
41,2010-08-26,3.978,4.054,3.92,3.95,3.95,2169000,0,
42,2010-08-27,3.95,3.974,3.9,3.94,3.94,1898000,0,
43,2010-08-30,3.94,4.038,3.922,3.974,3.974,3664000,0,
44,2010-08-31,3.932,3.958,3.866,3.896,3.896,1005500,0,
45,2010-09-01,3.924,4.138,3.92,4.09,4.09,2474500,0,
46,2010-09-02,4.074,4.248,4.062,4.212,4.212,2435500,0,
47,2010-09-03,4.174,4.26,4.132,4.21,4.21,2173000,0,
48,2010-09-07,4.122,4.2,4.1,4.108,4.108,1217000,0,
49,2010-09-08,4.132,4.19,4.12,4.18,4.18,1442000,0,
50,2010-09-09,4.2,4.21,4.138,4.142,4.142,1881000,0,
51,2010-09-10,4.15,4.186,3.952,4.034,4.034,1933000,0,
52,2010-09-13,4.178,4.18,4.1,4.144,4.144,1804000,0,
53,2010-09-14,4.108,4.32,4.106,4.224,4.224,3273500,0,
54,2010-09-15,4.196,4.4,4.158,4.396,4.396,3423000,0,
55,2010-09-16,4.43,4.632,4.168,4.188,4.188,13422500,0,
56,2010-09-17,4.204,4.264,3.96,4.046,4.046,5992500,0,
57,2010-09-20,4.134,4.27,4.032,4.212,4.212,4737500,0,
58,2010-09-21,4.178,4.31,4.134,4.154,4.154,3980000,0,
59,2010-09-22,4.174,4.19,3.96,3.974,3.974,4814500,0,
60,2010-09-23,3.978,4.028,3.9,3.912,3.912,3340500,0,
61,2010-09-24,3.99,4.038,3.93,4.02,4.02,2894500,0,
62,2010-09-27,4.08,4.162,4.01,4.106,4.106,2093000,0,
63,2010-09-28,4.208,4.298,4.152,4.28,4.28,6072500,0,
64,2010-09-29,4.238,4.406,4.226,4.396,4.396,9846500,0,
65,2010-09-30,4.4,4.43,4.038,4.082,4.082,10979000,0,
66,2010-10-01,4.138,4.15,4.062,4.12,4.12,2988500,0,
67,2010-10-04,4.086,4.234,4.06,4.198,4.198,3218000,0,
68,2010-10-05,4.23,4.256,4.202,4.224,4.224,1660000,0,
69,2010-10-06,4.212,4.252,4.064,4.092,4.092,1567000,0,
70,2010-10-07,4.114,4.128,4.068,4.086,4.086,705000,0,
71,2010-10-08,4.086,4.158,4.078,4.086,4.086,1339000,0,
72,2010-10-11,4.088,4.14,4.014,4.048,4.048,856000,0,
73,2010-10-12,4.04,4.056,4.006,4.048,4.048,1220000,0,
74,2010-10-13,4.128,4.17,4.072,4.108,4.108,1591000,0,
75,2010-10-14,4.2,4.206,4.08,4.15,4.15,1474000,0,
76,2010-10-15,4.178,4.18,4.05,4.108,4.108,1423500,0,
77,2010-10-18,4.104,4.128,4.044,4.046,4.046,814000,0,
78,2010-10-19,4.04,4.082,4.0,4.01,4.01,1226000,0,
79,2010-10-20,4.032,4.138,4.008,4.13,4.13,1562500,0,
80,2010-10-21,4.122,4.19,4.09,4.15,4.15,2085500,0,
81,2010-10-22,4.136,4.186,4.11,4.144,4.144,805500,0,
82,2010-10-25,4.188,4.196,4.146,4.17,4.17,592500,0,
83,2010-10-26,4.16,4.374,4.102,4.272,4.272,3304500,0,
84,2010-10-27,4.25,4.276,4.13,4.2,4.2,1782500,0,
85,2010-10-28,4.278,4.3,4.192,4.238,4.238,1121000,0,
86,2010-10-29,4.228,4.37,4.21,4.368,4.368,1403000,0,
87,2010-11-01,4.388,4.55,4.262,4.282,4.282,2279000,0,
88,2010-11-02,4.336,4.376,4.21,4.25,4.25,1612500,0,
89,2010-11-03,4.256,4.5,4.232,4.354,4.354,1863000,0,
90,2010-11-04,4.52,5.066,4.43,4.98,4.98,9370000,0,
91,2010-11-05,4.974,4.994,4.744,4.888,4.888,5055000,0,
92,2010-11-08,4.9,5.0,4.806,4.996,4.996,2547500,0,
93,2010-11-09,5.0,5.138,4.81,4.926,4.926,4782000,0,
94,2010-11-10,4.896,5.994,4.81,5.872,5.872,15302500,0,
95,2010-11-11,5.72,5.82,5.466,5.608,5.608,9726500,0,
96,2010-11-12,5.65,6.1,5.614,5.968,5.968,13645500,1,
97,2010-11-15,6.044,6.588,6.044,6.16,6.16,13114500,0,
98,2010-11-16,6.2,6.28,5.684,5.934,5.934,6738000,0,
99,2010-11-17,6.04,6.15,5.722,5.898,5.898,3750000,0,
100,2010-11-18,6.134,6.148,5.784,5.978,5.978,4780500,0,6.021398195611937
101,2010-11-19,6.032,6.274,5.94,6.198,6.198,5752500,0,6.033486943322373
102,2010-11-22,6.314,6.69,6.3,6.68,6.68,7648500,0,6.240024166843369
103,2010-11-23,6.658,7.136,6.438,6.914,6.914,7889000,0,6.71313989104641
104,2010-11-24,7.054,7.194,6.866,7.094,7.094,7125000,0,7.0515950149832065
105,2010-11-26,7.12,7.2,6.95,7.064,7.064,1753000,0,7.248234669478677
106,2010-11-29,7.082,7.19,6.666,6.866,6.866,5728000,0,7.204679403375309
107,2010-11-30,6.748,7.066,6.682,7.066,7.066,11113000,0,6.965721678904657
108,2010-12-01,7.174,7.284,6.69,6.87,6.87,6496000,0,7.0127053198210945
109,2010-12-02,6.802,6.86,6.24,6.47,6.47,10035000,0,6.901148984599445
110,2010-12-03,6.402,6.45,6.174,6.298,6.298,5800500,0,6.577018504990264
111,2010-12-06,6.27,6.29,5.912,6.062,6.062,6372000,0,6.342130112362952
112,2010-12-07,6.098,6.48,6.01,6.312,6.312,6556500,0,6.118376484889353
113,2010-12-08,6.496,6.498,6.304,6.474,6.474,3300000,0,6.296979906672618
114,2010-12-09,6.502,6.544,6.33,6.41,6.41,2030000,0,6.541661526483352
115,2010-12-10,6.41,6.584,6.226,6.304,6.304,2147000,0,6.591104653678741
116,2010-12-13,6.328,6.354,6.08,6.11,6.11,2052000,0,6.484094641578736
117,2010-12-14,6.058,6.078,5.552,5.706,5.706,8828500,0,6.252753871584076
118,2010-12-15,5.734,5.994,5.706,5.92,5.92,3714500,0,5.848950942514762
119,2010-12-16,6.0,6.182,5.93,6.162,6.162,3950500,0,5.902403777643684
120,2010-12-17,6.268,6.308,6.142,6.272,6.272,4065000,0,6.176882446373185
121,2010-12-20,6.328,6.438,6.252,6.34,6.34,2617000,0,6.409520036405837
122,2010-12-21,6.36,6.538,6.342,6.452,6.452,3888500,0,6.524504746440584
123,2010-12-22,6.45,6.572,6.34,6.526,6.526,4166500,0,6.598006121237205
124,2010-12-23,6.252,6.496,5.984,6.018,6.018,7763000,0,6.636046175684783
125,2010-12-27,5.604,5.716,5.012,5.11,5.11,46509500,-1,6.2240598649964625
126,2010-12-28,5.17,5.35,5.0,5.282,5.282,20281500,1,5.352999260861225
127,2010-12-29,5.406,5.602,5.3,5.546,5.546,16596000,0,5.208157877997934
128,2010-12-30,5.54,5.58,5.276,5.3,5.3,10205500,0,5.49101370605328
129,2010-12-31,5.314,5.45,5.3,5.326,5.326,7089500,0,5.52671352204149
130,2011-01-03,5.368,5.4,5.18,5.324,5.324,6415000,0,5.571580514160303
131,2011-01-04,5.332,5.39,5.204,5.334,5.334,5937000,0,5.550086094680125
132,2011-01-05,5.296,5.38,5.238,5.366,5.366,7233500,0,5.529575469711517
133,2011-01-06,5.366,5.6,5.362,5.576,5.576,10306000,0,5.536536561179787
134,2011-01-07,5.6,5.716,5.58,5.648,5.648,11239500,0,5.7013966717559015
135,2011-01-10,5.634,5.736,5.61,5.69,5.69,6713500,0,5.8167540312268216
136,2011-01-11,5.718,5.742,5.384,5.392,5.392,8551000,0,5.875826419853695
137,2011-01-12,5.402,5.48,5.304,5.392,5.392,4822000,0,5.635750747074411
138,2011-01-13,5.392,5.394,5.232,5.244,5.244,3618000,0,5.5285618632450735
139,2011-01-14,5.23,5.316,5.122,5.15,5.15,5960000,0,5.388028307864261
140,2011-01-18,5.096,5.128,4.95,5.128,5.128,8108500,0,5.30187175821419
